Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Q20,Q2101101,Q2102101,Q2103101,Q2104101,Q2105101,Q2106101,Q2107101,Q2108101,Q2109101,Q2110101,Q2111101,Q2112101,Q2113101,Q22,Q23,Q2401102,Q2402102,Q2403102,Q2404102,Q2405102,Q2406102,Q2407102,Q2408102,Q2409102,Q2410102,Q2411102,Q2412102,Q2413102,Q2414102,Q2415102,Q2901103,Q2902103,Q2903103,Q2904103,Q2906103,Q2908103,Q2909103,Q2910103,Q2911103,Q2912103,Q2913103,Q2914103,Q2915103,Q2916103,Q2937103,Q2917103,Q2938103,Q2918103,Q2919103,Q2920103,Q2921103,Q2922103,Q2923103,Q2924103,Q2925103,Q2926103,Q2927103,Q2929103,Q2930103,Q2931103,Q2932103,Q2933103,Q2934103,Q2935103,Q3001104,Q3002104,Q3003104,Q3004104,Q3006104,Q3008104,Q3009104,Q3010104,Q3011104,Q3012104,Q3013104,Q3014104,Q3036104,Q3015104,Q3037104,Q3016104,Q3017104,Q3019104,Q3020104,Q3021104,Q3022104,Q3023104,Q3024104,Q3025104,Q3026104,Q3028104,Q3029104,Q3030104,Q3031104,Q3032104,Q3033104,Q3034104,Q3035104,Q3101105,Q3102105,Q3103105,Q3104105,Q3105105,Q3107105,Q3109105,Q3110105,Q3111105,Q3112105,Q3113105,Q3114105,Q3115105,Q3138105,Q3116105,Q3117105,Q3118105,Q3139105,Q3119105,Q3120105,Q3121105,Q3122105,Q3123105,Q3124105,Q3125105,Q3126105,Q3127105,Q3128105,Q3130105,Q3131105,Q3132105,Q3133105,Q3134105,Q3135105,Q3136105,Q3201106,Q3202106,Q3203106,Q3204106,Q3205106,Q3207106,Q3209106,Q3210106,Q3211106,Q3212106,Q3213106,Q3214106,Q3215106,Q3242106,Q3216106,Q3243106,Q3217106,Q3218106,Q3220106,Q3221106,Q3222106,Q3223106,Q3224106,Q3225106,Q3226106,Q3227106,Q3228106,Q3230106,Q3232106,Q3234106,Q3235106,Q3236106,Q3237106,Q3238106,Q3239106,Q3219106,Q3240106,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_7,Q36,Q37,Q3801107,Q3802107,Q3803107,Q3804107,Q3805107,Q3806107,Q3807107,Q3808107,Q3809107,Q3810107,Q3811107,Q3812107,Q3813107,Q3814107,Q3815107,Q3816107,Q3817107,Q3818107,Q3819107,Q3820107,Q3822107,Q3821xy,Q3901108,Q3902108,Q3903108,Q3904108,Q3905108,Q3906108,Q3907108,Q3908108,Q3909108,Q3910108,Q3911108,Q3912108,Q3913108,Q3914108,Q3915108,Q4001109,Q4002109,Q4003109,Q4004109,Q4005109,Q4006109,Q4007109,Q4008109,Q4009109,Q4010109,Q4011109,Q4012109,Q4013109,Q4014109,Q4015109,Q4016109,Q42_1,Q42_2,Q42_3,Q42_4,Q42_5,Q42_6,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q44_10,Q44_11,Q46,Q47_1,Q47_2,Q48,Q49,Q50,Q52,Q5301110,Q5302110,Q5303110,Q5304110,Q5306110,Q54_1,Q54_2,Q54_3,Q54_4,Q54_5,Q54_6,Q54_7,Q54_8,Q54_9,Q54_10,Q54_11,Q54_12,Q54_13,Q61,Q62,Q6301111,Q6302111,Q6303111,Q6304111,Q6305111,Q6306111,Q6307111,Q6308111,Q6309111,Q6310111,Q6311111,Q6312111,Q6313111,Q6314111,Q6315111,Q6316111,Q6317111,Q6318111,Q6319111,Q6320111,Q6321111,Q70,q55_discrete,q55_2_discrete,q55_3_discrete,q55_1_2,Q70_regions,Q68_bundled,q33_bundled,q27_bundled1112,q27_bundled2112,q27_bundled3112,q27_bundled4112,q27_bundled5112,q27_bundled6112,q27_bundled8112,q27_bundled10112,q27_bundled11112,q27_bundled12112,q27_bundled15112,q27_bundled16112,q27_bundled17112,q27_bundled18112,q27_bundled19112,q27_bundled20112,q27_bundled21112,q27_bundled22112,q27_bundled23112,q27_bundled24112,q27_bundled25112,q27_bundled26112,q27_bundled27112,q27_bundled40112,q27_bundled29112,q27_bundled30112,q27_bundled31112,q27_bundled32112,q27_bundled33112,q27_bundled34112,q27_bundled35112,q27_bundled36112,q27_bundled37112,q27_bundled38112,q27_bundled39112,q27_bundled41112,q27_bundled999112,q28_bundled1113,q28_bundled2113,q28_bundled3113,q28_bundled4113,q28_bundled5113,q28_bundled6113,q28_bundled8113,q28_bundled10113,q28_bundled11113,q28_bundled12113,q28_bundled15113,q28_bundled16113,q28_bundled17113,q28_bundled18113,q28_bundled19113,q28_bundled20113,q28_bundled21113,q28_bundled22113,q28_bundled23113,q28_bundled24113,q28_bundled25113,q28_bundled26113,q28_bundled27113,q28_bundled40113,q28_bundled29113,q28_bundled30113,q28_bundled31113,q28_bundled32113,q28_bundled33113,q28_bundled34113,q28_bundled35113,q28_bundled36113,q28_bundled37113,q28_bundled38113,q28_bundled39113,q28_bundled41113,q28_bundled999OtherOther3,q_eur,Q70_regions,ID,Q1,Q2,Q33,Q41
Europe,Greece,Less than 150,Did not respond,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greece,51-100,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southern Europe,Europe,110846,English,Vendor,,
Europe,Sweden,150 - 500,Manufacturing,Business,Management (CXO),,Finance/Controlling,,,,,,,,,Sales,,,CIO/Head of IT,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,Planned to use within 12 months,Planned in the long term,Not required,Not required,2016,Evaluated only the selected product,Functionality,,,,Ease of use for report recipients,,,,Vendor or product reputation,,,,,,Availability of local support,,Good vendor relationship,,,,,,,,,,,,,Costs higher than expected,,,,,,,,,,,,,,,,,,,,,,No significant problems,,Good,Good,Average,Poor,Average,Good,Good,Moderate,Moderate,Good,Moderate,Low,Low,Moderate,High,Moderate,Moderate,Not achieved,Moderate,Low,Moderate,Moderate,Probably,Good,Good,Satisfactory,1 to less than 3 months,1 to less than 5 seconds,50 to less than 100 GB,View,Navigate,Explore/Analyze,,,,,,Planned in the long term,Planned in the long term,In use,Planned within 12 months,,,In use,In use,Planned within 12 months,Planned in the long term,Feasible,Very important,,,,,,,,,,Quality assurance/analysis,Sales management and analysis,,,,,Capacity/resource planning,,Corporate performance management,Predictive analytics,,,Sweden,101 - 250,25 - 75,25 - 75,10 to less than 15%,Europe,Manufacturing,Qlik Sense,,,,,,,,,,,,,,,,,,,MS Power BI,,,,,,,Qlik Sense,,,,,,,,Tableau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qlik Sense,,,,,,,,,,,,Northern Europe,Europe,110883,English,User,Qlik Sense,Yes
Asia and Pacific,Australia,500 - 1500,Services,Business,Finance/Controlling,Management,Finance/Controlling,,,,,Marketing,,Operations/Production,,,,,Head of business department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned to use within 12 months,Planned to use within 12 months,In use,In use,Planned in the long term,In use,In use,2015,Competitively evaluated multiple products,Functionality,,,,Ease of use for report recipients,Fast query performance,,,,,,,,,Availability of local support,,Good vendor relationship,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Good,Good,Good,Good,Moderate,Low,Moderate,Moderate,Moderate,Moderate,Low,Low,High,Not achieved,High,High,Probably,Good,Good,Good,3 to less than 6 months,10 to less than 30 seconds,50 to less than 100 GB,View,Navigate,Explore/Analyze,,Create reports,Not required,Planned in the long term,Not required,Planned in the long term,Planned within 12 months,Planned within 12 months,Planned within 12 months,Planned within 12 months,Planned in the long term,Planned in the long term,In use,Planned within 12 months,Planned within 12 months,Feasible,Not very important,,,,,,,,,,,,,,,Real-time process monitoring,,,Corporate performance management,,,,Australia,501 - 1000,Less than 25,Less than 25,1 to less than 5%,Asia and Pacific,Services,CALUMO,,,CALUMO,,,,,,,,,IBM Plan Analytics,,,,,,MS Excel,MS Power BI,,,,,,,Qlik Sense,QlikView,,,,,,,Tableau,,,,,,CALUMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia and Pacific,110896,English,User,CALUMO,No
North America,United States of America,Did not respond,Services,IT,IT,,,,,,,,,,,,,,CIO/Head of IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,,,North America,Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,110918,English,Non user,,
Asia and Pacific,India,Less than 150,Utilities,Did not respond,Other,,,,IT,,,,,Operations/Production,,,,,CIO/Head of IT,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned to use within 12 months,Planned to use within 12 months,Planned to use within 12 months,Planned to use within 12 months,Planned to use within 12 months,Planned to use within 12 months,Planned to use within 12 months,Before 2010,Competitively evaluated multiple products,,,,,,,,,,,,,,,Availability of local support,,,,,,,,,,,,,,,,,,Lack of support from management,,,,,,,,,,,,,Query performance too slow,,,,,,,,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Definitely,Good,Good,Good,3 to less than 6 months,5 to less than 10 seconds,Less than 50 MB,View,,,,,Planned within 12 months,Planned within 12 months,In use,Planned within 12 months,Planned within 12 months,Planned within 12 months,Planned within 12 months,Planned within 12 months,Planned within 12 months,Planned within 12 months,Planned within 12 months,Planned within 12 months,Planned within 12 months,Very feasible,Very important,Pricing and offer optimization,,,,,,,,,,,,,,,,,,,,,India,Less than 50,Less than 25,Less than 25,10 to less than 15%,Asia and Pacific,Utilities,,,,,,,,,,,,,,,,,,,,,,,Oracle BI,,,,,,,,,,SAS Enterprise BI,,,,,,,,,,,,,,,,IBM Cog Analytics,,,,,,,,,,,Oracle BI,,,,,,,,,,SAS Enterprise BI,,,,,,,Asia and Pacific,110926,English,User,Oracle Analytics Cloud,Yes
Europe,France,500 - 1500,Other,IT,IT,,,,,,,,,Operations/Production,,,,,CIO/Head of IT,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,Not required,In use,Not required,Not required,Not required,Not required,2012,Competitively evaluated multiple products,,,,,,,,,,,,,,Corporate standard,,,,,,,,,,,Lack of expertise of implementation partner,,,,,Costs higher than expected,,,,,,,,Administrative problems,,,,Poor data governance,,,,,,,Software not flexible enough,,,,,,,,,,,Moderate,Moderate,Poor,Poor,Poor,Not achieved,Not achieved,Not achieved,Not achieved,Low,Not achieved,Not achieved,Not achieved,Not achieved,Not achieved,Moderate,Probably not,None used so far,Not very good,Not very good,1 to less than 2 years,10 to less than 30 seconds,10 to less than 50 GB,View,,,,Create reports,Not required,In use,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Feasible,Important,,,,,,,,,Unified view of customers,Quality assurance/analysis,Sales management and analysis,,,,,Capacity/resource planning,,,,,,France,501 - 1000,76 - 300,Less than 25,40 to less than 50%,Europe,Other,IBM Cog Analytics,,,,,,,,,,,IBM Cog Analytics,,,,,,,,,,,,,,,,QlikView,,,,SAP BO WebI,,,Tableau,,,,,,,,,,,,,,IBM Cog Analytics,,,,,,,,,,,,,,,,QlikVIew,,SAP Analytics Cloud,,SAP BO WebI,,,Tableau,,,,France,Europe,110961,Français,User,IBM Cognos Analytics,No
South America,Brazil,Less than 150,Did not respond,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brazil,51-100,,,,South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South America,110963,English,Vendor,,
Europe,Slovenia,1500 - 6000,Financial Services,Did not respond,Separate BI organization unit,Management,Finance/Controlling,,IT,,,Marketing,Procurement,Operations/Production,R&D,Sales,,Other,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,,,,IBM Cog TM1 (Web),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned in the long term,Not required,Not required,Not required,Planned in the long term,Planned in the long term,Not required,2014,No formal evaluation,Functionality,,,,,Fast query performance,,High innovative capacity of the vendor,,,,,,,Availability of local support,,,,,,Other,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,,,,,,Other,Very good,Very good,Very good,Average,Good,Very good,Good,Good,Good,Good,Good,Moderate,Moderate,Moderate,Moderate,Moderate,High,Moderate,High,,High,High,Definitely,Satisfactory,Excellent,Satisfactory,3 to less than 6 months,1 to less than 5 seconds,500 MB to less than 1 GB,View,,,,,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Planned within 12 months,Not very feasible,Not very important,Pricing and offer optimization,,Customer behavior analysis,,,,,,Unified view of customers,,Sales management and analysis,,,Simulation,,,,Corporate performance management,,,Other,Slovenia,1001 – 2500,More than 300,25 - 75,20 to less than 30%,Europe,Financial Services,IBM Plan Analytics,,,,,,,,,,,IBM Cog Analytics,IBM Plan Analytics,,,,,,MS Excel,,MS SSRS,MicroStrategy,Oracle BI,,,,,QlikView,,,SAP BO Analysis,,,,Tableau,,,Other,,,,,,,,,,,,IBM Plan Analytics,,,,,,,,,MicroStrategy,,,,,,,,,,,,,,,,,Eastern Europe,Europe,110986,English,User,IBM Planning Analytics,Yes
Europe,Czech Republic,More than 6000,Financial Services,Did not respond,,Management,Finance/Controlling,Human resources,IT,Legal,Logistics,Marketing,Procurement,Operations/Production,R&D,Sales,Service,,Person responsible for departmental BI,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Excel stand alone,Microsoft Excel with Add-In,Microsoft Power BI,Microsoft SSRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,Not required,Not required,Not required,Not required,In use,In use,Before 2010,No formal evaluation,,,,,,,,,,,,,Price-performance ratio,,,,,Bundled with another product,,,,,,,,,,,,,,,,,,No significant problems,,,,,,Poor data governance,,,,,,,,,,,Other,,,,,,,Good,Good,Good,Good,Good,Not achieved,,Not achieved,,,Not achieved,Not achieved,,,Low,Not achieved,Maybe,None used so far,None used so far,Good,Less than 1 month,1 to less than 5 seconds,Less than 50 MB,View,,Explore/Analyze,,,Not required,Not required,Planned within 12 months,In use,Not required,Not required,In use,In use,Not required,Not required,In use,Not required,Not required,Feasible,Important,Pricing and offer optimization,,Customer behavior analysis,Churn prevention,Fraud prevention,Security analytics,Geospatial analysis,Recommendation/Next-best-offer,Unified view of customers,Quality assurance/analysis,Sales management and analysis,Risk management/Minimizing risks,,Simulation,,Capacity/resource planning,,Corporate performance management,Predictive analytics,,,Czech Republic,2501 – 10000,More than 300,More than 300,More than 75%,Europe,Financial Services,MS Excel,,,,,,,,,,,,,,,,,,,MS Power BI,,,,,,,,QlikView,,,,,,,Tableau,,,,,,,,,,,,,,IBM Cog Analytics,,,,,,,MS Excel,MS Power BI,MS SSRS,,Oracle BI,,,,,,,,,,SAS Enterprise BI,,,,,Other,Eastern Europe,Europe,110994,English,Consultant,Microsoft Excel,
Europe,Germany,1500 - 6000,Retail/Wholesale,IT,IT,Management,Finance/Controlling,Human resources,IT,,Logistics,Marketing,Procurement,Operations/Production,,Sales,Service,,Person responsible for BI from IT department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Planned to use within 12 months,Planned in the long term,In use,2014,Competitively evaluated multiple products,,,,,Ease of use for report recipients,Fast query performance,,,Vendor or product reputation,,,,,,Availability of local support,Proof of concept faster or better,,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,Query performance too slow,,,,,,,Other,Very good,Very good,Good,Average,Average,Good,Good,Good,Good,Good,Good,Moderate,Moderate,Moderate,High,Moderate,High,,Low,Low,High,High,Probably,Good,Good,Good,3 to less than 6 months,5 to less than 10 seconds,500 GB to less than 1 TB,View,Navigate,Explore/Analyze,,,Not required,Not required,Planned in the long term,Not required,Planned in the long term,Not required,Not required,Planned in the long term,Planned in the long term,In use,Not required,Planned in the long term,Planned within 12 months,Feasible,Very important,Pricing and offer optimization,Supply network optimization,Customer behavior analysis,,,,Geospatial analysis,,Unified view of customers,Quality assurance/analysis,Sales management and analysis,Risk management/Minimizing risks,,,Real-time process monitoring,,,Corporate performance management,Predictive analytics,,,Germany,2501 – 10000,More than 300,More than 300,15 to less than 20%,Europe,Retail/Wholesale,QlikView,,,,,,,,,,,,,,,,,,,,,,,,,,,QlikView,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QlikVIew,,,,,,,,,,,DACH,Europe,110996,Deutsch,User,QlikView,Yes
Europe,Switzerland,More than 6000,Manufacturing,IT,IT,Management,Finance/Controlling,Human resources,IT,,Logistics,Marketing,Procurement,Operations/Production,R&D,Sales,Service,,Person responsible for BI from IT department,Yes,Company politics,,,,,,,,,,,,Too expensive,,Other,,,,,IBM Cognos Analytics,,,IBM Cog TM1 (Web),,,Microsoft Excel with Add-In,Microsoft Power BI,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,Microsoft Excel stand alone,,Microsoft Power BI,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Excel with Add-In,Microsoft Power BI,,,,,,,,,,,QlikView,SAP BO Analysis,,SAP Lumira Designer,,SAP BO WebI,,,,,,,,,,,In use,In use,In use,In use,Not required,Not required,In use,Before 2010,Competitively evaluated multiple products,,Support of large numbers of users,,,Ease of use for report recipients,Fast query performance,,,,,Flexibility,,,,,,,,,,Other,,,,,,,,,,,,,,Software-related issues,,Other,,,,,,,,,,,,,,,,Other,,,,,,,Moderate,Good,Moderate,Good,Good,Moderate,High,Moderate,High,Low,Moderate,Moderate,Moderate,Moderate,High,High,Definitely,Good,Excellent,Excellent,6 to less than 12 months,5 to less than 10 seconds,500 GB to less than 1 TB,View,Navigate,Explore/Analyze,,Create reports,Not required,Not required,Not required,In use,Not required,Not required,In use,Not required,Not required,In use,In use,Not required,In use,Very feasible,Not very important,Pricing and offer optimization,Supply network optimization,Customer behavior analysis,,Fraud prevention,,,,Unified view of customers,,,,Predictive maintenance,,,,IoT analytics,Corporate performance management,,,Other,Switzerland,More than 100000,More than 300,More than 300,10 to less than 15%,Europe,Manufacturing,,,BOARD,,,,,,,,,,IBM Plan Analytics,,,Jedox,Longview Analytics,,MS Excel,MS Power BI,MS SSRS,,,,,Pyramid Analytics,Qlik Sense,QlikView,,,SAP BO Analysis,,,,Tableau,,,Other,,,,,,,,,,,,IBM Plan Analytics,,,Jedox,Longview Analytics,,MS Excel,MS Power BI,MS SSRS,,,,,,Qlik Sense,QlikVIew,,,SAP BO Analysis,SAP BO WebI,,,,,,Other,DACH,Europe,111003,English,User,Other,No
Europe,France,Less than 150,IT,Did not respond,,Management,Finance/Controlling,,IT,,,Marketing,,Operations/Production,R&D,Sales,,,Head of business department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned in the long term,Planned in the long term,Planned in the long term,Planned in the long term,In use,Not required,In use,Before 2010,,,Support of large numbers of users,Large data handling capacity,,,Fast query performance,,,Vendor or product reputation,,,,,,,,,,,Availability of skilled people,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Good,Good,Good,Good,Good,Not achieved,Moderate,Moderate,High,High,Not achieved,Not achieved,High,High,High,High,Definitely,Satisfactory,Good,Satisfactory,1 to less than 3 months,Less than 1 second,5 to less than 10 TB,View,Navigate,Explore/Analyze,Model/Enrich,Create reports,Not required,Not required,In use,In use,In use,Not required,In use,,Not required,In use,In use,,,Feasible,Important,Pricing and offer optimization,,Customer behavior analysis,Churn prevention,Fraud prevention,,,,Unified view of customers,Quality assurance/analysis,Sales management and analysis,Risk management/Minimizing risks,,,,,,Corporate performance management,,,,France,51-100,76 - 300,25 - 75,More than 75%,Europe,IT,MicroStrategy,,,,,,,,,,,IBM Cog Analytics,IBM Plan Analytics,Infor BI,,Jedox,,,,MS Power BI,,MicroStrategy,,,,,Qlik Sense,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,France,Europe,111034,Français,Consultant,MicroStrategy,
Europe,Switzerland,1500 - 6000,Retail/Wholesale,Did not respond,,Management,Finance/Controlling,Human resources,,,,Marketing,,,,Sales,,,Person responsible for BI from IT department,Yes,,,Key product features,,,,,Software difficult to use,,,,Bad support,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,Planned to use within 12 months,In use,Planned to use within 12 months,In use,Not required,2017,Competitively evaluated multiple products,Functionality,,,,,,,,Vendor or product reputation,,Flexibility,,,,,Proof of concept faster or better,,,Deployment option,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Good,Good,Good,Moderate,Good,Moderate,High,High,Moderate,Moderate,High,High,Moderate,Moderate,Moderate,High,Definitely,Good,Good,Good,3 to less than 6 months,5 to less than 10 seconds,1 to less than 5 TB,View,,Explore/Analyze,Model/Enrich,Create reports,Planned in the long term,Not required,In use,In use,In use,Planned within 12 months,In use,In use,Planned in the long term,In use,Planned within 12 months,Planned within 12 months,Planned within 12 months,Very feasible,Very important,,,Customer behavior analysis,Churn prevention,,,Geospatial analysis,,Unified view of customers,,Sales management and analysis,,,Simulation,,,,Corporate performance management,Predictive analytics,,,Switzerland,2501 – 10000,More than 300,76 - 300,20 to less than 30%,Europe,Retail/Wholesale,SAP Analytics Cloud,,,,,Cubeware,,,,Domo,,,,,,,,,,,,,,,,,,,,SAP Analytics Cloud,,,,,Tableau,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAP Analytics Cloud,,,,,,,,,DACH,Europe,111045,Deutsch,Consultant,SAP Analytics Cloud,
Europe,Portugal,1500 - 6000,Manufacturing,IT,IT,Management,Finance/Controlling,Human resources,IT,,Logistics,Marketing,,Operations/Production,,Sales,Service,,IT employee,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Excel with Add-In,Microsoft Power BI,Microsoft SSRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Planned in the long term,Planned in the long term,In use,Before 2010,Competitively evaluated multiple products,,,,,,,,,Vendor or product reputation,Size/financial stability of the vendor,,,Price-performance ratio,,,,,,,,,,,,,,,Training-related issues,,,,,,,Software-related issues,,,,,,,,,,,,,Software difficult to use,Software not flexible enough,,,,,Good,Good,Very good,Average,Very good,Very good,Good,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Moderate,High,Moderate,Low,Probably,Good,Satisfactory,Excellent,1 to less than 3 months,1 to less than 5 seconds,10 to less than 50 GB,,,Explore/Analyze,,Create reports,In use,Not required,Not required,Not required,Planned in the long term,Planned in the long term,In use,Not required,In use,In use,Not required,Not required,Planned in the long term,Feasible,Not very important,,,,,,,,,,,,,,,Real-time process monitoring,,,,,,,Portugal,2501 – 10000,More than 300,Less than 25,10 to less than 15%,Europe,Manufacturing,MS SSRS,,,,,,,,,,,,,,,,,,,MS Power BI,MS SSRS,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,MS Power BI,MS SSRS,,,,,,,,,,,,,,,,,Other,Southern Europe,Europe,111051,English,User,Microsoft SSRS,Yes
